trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
157,False,"{'a': 0.8, 'e': 0.09463503729790729}",25,18,12.708030801614084,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.8, 'e': 0.09321551173843867}",30,19,11.592470990553592,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.8, 'e': 0.09181727906236209}",30,14,5.937652464072535,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
160,False,"{'a': 0.8, 'e': 0.09044001987642665}",20,0,22.713205136551885,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.8, 'e': 0.08908341957828025}",20,10,23.880742471798825,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.8, 'e': 0.08774716828460605}",20,8,19.02629085629902,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.8, 'e': 0.08643096076033696}",30,12,30.571054018599906,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.8, 'e': 0.0851344963489319}",20,15,2.1062532932351212,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.8, 'e': 0.08385747890369792}",20,15,8.48167653107377,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.8, 'e': 0.08259961672014245}",20,6,28.705263197727263,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.8, 'e': 0.08136062246934031}",25,7,29.83644099008098,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.8, 'e': 0.08014021313230021}",20,7,24.157481258393346,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.8, 'e': 0.0789381099353157}",20,9,-22.36726726533173,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.8, 'e': 0.07775403828628596}",25,12,12.004597688800917,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
